Date,Open,High,Low,Close,Volume
2019-07-12,4340,4390,4240,4300,11397200
2019-07-15,4320,4320,4200,4250,8389900
2019-07-16,4250,4290,4170,4190,4973300
2019-07-17,4200,4280,4170,4180,8919400
2019-07-18,4200,4210,4170,4170,4991400
2019-07-19,4200,4320,4190,4290,7395800
2019-07-22,4280,4290,4110,4110,7389800
2019-07-23,4120,4150,4050,4070,5816700
2019-07-24,4080,4120,4060,4090,6013400
2019-07-25,4100,4170,4090,4090,4004000
2019-07-26,4080,4090,3930,4000,6999900
2019-07-29,4000,4000,3880,3880,7699400
2019-07-30,3910,3940,3850,3930,7052000
2019-07-31,3910,4010,3910,4000,6624600
2019-08-01,3980,4000,3900,4000,5410500
2019-08-02,3990,4060,3940,4060,7104900
2019-08-05,4010,4010,3830,3890,9656900
2019-08-06,3810,3810,3670,3750,7995200
2019-08-07,3770,3790,3710,3770,7020200
2019-08-08,3770,3770,3690,3750,9346100
2019-08-09,3790,3830,3760,3830,3704900
2019-08-12,3840,3890,3830,3860,5487800
2019-08-13,3830,3840,3770,3780,3890900
2019-08-14,3810,4020,3810,4000,9113700
2019-08-15,3980,3980,3860,3970,4872600
2019-08-16,3980,4000,3920,3970,3781700
2019-08-19,3980,4080,3910,4040,6853900
2019-08-20,4090,4100,3990,4010,6790400
2019-08-21,3950,4010,3950,4000,4793600
2019-08-22,4000,4070,3950,4060,5804800
2019-08-23,4080,4130,3980,4030,3576800
2019-08-26,4000,4100,3900,4090,4628200
2019-08-27,4090,4140,4060,4080,5924600
2019-08-28,4080,4270,4080,4260,12270400
2019-08-29,4270,4320,4200,4250,5170000
2019-08-30,4250,4270,4110,4270,7663500
2019-09-02,4270,4300,4200,4240,5752800
2019-09-03,4240,4290,4230,4270,6079600
2019-09-04,4270,4290,4190,4230,5724100
2019-09-05,4250,4250,4140,4140,5175200
2019-09-06,4140,4160,4010,4140,6160800
2019-09-09,4130,4140,4040,4090,7097900
2019-09-10,4100,4130,4070,4070,8072500
2019-09-11,4060,4090,4020,4090,10025900
2019-09-12,4090,4100,4030,4040,5808300
2019-09-13,4070,4080,4010,4030,4832700
2019-09-16,4090,4150,3980,4010,8465800
2019-09-17,4040,4040,3950,3970,6147300
2019-09-18,3970,3980,3910,3970,5518200
2019-09-19,3970,3970,3910,3910,4086300
2019-09-20,3950,3970,3910,3910,4246200
2019-09-23,3920,3950,3840,3840,5373200
2019-09-24,3840,3840,3780,3780,4318500
2019-09-25,3780,3780,3710,3720,7758500
2019-09-26,3720,3730,3700,3720,8557500
2019-09-27,3720,3720,3680,3690,3857400
2019-09-30,3700,3840,3700,3800,8630900
2019-10-01,3820,3840,3760,3780,3486100
2019-10-02,3780,3810,3740,3760,2507900
2019-10-03,3740,3930,3700,3920,6808400
2019-10-04,3950,4100,3950,4090,8450300
2019-10-07,4090,4130,4020,4120,6135900
2019-10-08,4140,4230,4140,4200,7384300
2019-10-09,4230,4260,4120,4200,4862700
2019-10-10,4200,4300,4180,4230,5257700
2019-10-11,4250,4350,4210,4330,6946600
2019-10-14,4330,4350,4190,4260,4982900
2019-10-15,4260,4270,4160,4180,3914500
2019-10-16,4180,4270,4180,4230,5100900
2019-10-17,4250,4290,4220,4240,5210600
2019-10-18,4250,4250,4170,4180,8899400
2019-10-21,4180,4190,4050,4080,4561700
2019-10-22,4080,4140,4050,4080,3030800
2019-10-23,4080,4080,3930,3940,5876100
2019-10-24,3950,3990,3920,3950,5578300
2019-10-25,3950,4050,3910,3920,5879900
2019-10-28,3910,3940,3850,3900,4169500
2019-10-29,3910,4030,3910,4010,5529100
2019-10-30,4020,4070,4010,4060,5172100
2019-10-31,4070,4070,3940,3960,4744400
2019-11-01,3920,3930,3840,3900,5471200
2019-11-04,3880,3930,3850,3890,6698200
2019-11-05,3890,3920,3840,3860,4269100
2019-11-06,3860,3880,3820,3870,6727900
2019-11-07,3870,3900,3790,3870,6354100
2019-11-08,3870,3900,3780,3780,6146300
2019-11-11,3780,3810,3720,3740,4816400
2019-11-12,3740,3840,3730,3800,4559000
2019-11-13,3800,3850,3750,3750,5417200
2019-11-14,3760,3760,3680,3700,5219300
2019-11-15,3700,3760,3680,3680,15745100
2019-11-18,3690,3700,3560,3640,17462100
2019-11-19,3640,3720,3600,3680,17524600
2019-11-20,3700,3740,3680,3700,18651600
2019-11-21,3700,3700,3530,3540,22069000
2019-11-22,3530,3530,3300,3370,26232700
2019-11-25,3390,3400,3300,3310,16906900
2019-11-26,3340,3440,3320,3330,13899300
2019-11-27,3330,3380,3300,3300,12279100
2019-11-28,3320,3360,3220,3250,17583800
2019-11-29,3220,3420,3220,3400,14421000
2019-12-02,3470,3700,3430,3690,15660700
2019-12-03,3670,3690,3530,3630,15395700
2019-12-04,3560,3650,3560,3630,10754700
2019-12-05,3630,3780,3630,3770,13078100
2019-12-06,3770,3790,3700,3770,9343600
2019-12-09,3780,3780,3680,3710,12493400
2019-12-10,3700,3730,3670,3720,10098500
2019-12-11,3720,3790,3720,3750,12359100
2019-12-12,3770,3780,3700,3770,7391300
2019-12-13,3790,3850,3770,3840,11679500
2019-12-16,3840,3890,3780,3870,12592000
2019-12-17,3870,3890,3830,3870,10713100
2019-12-18,3870,3890,3830,3890,13370300
2019-12-19,3870,3930,3870,3920,11619500
2019-12-20,3900,4010,3900,3980,9789900
2019-12-23,4000,4000,3950,3960,14939300
2019-12-26,4000,4000,3910,3970,11298000
2019-12-27,3970,3970,3840,3870,5284300
2019-12-30,3870,3970,3850,3950,9936000
2020-01-02,3950,3990,3850,3900,10907300
2020-01-03,3900,3930,3780,3790,7915400
2020-01-06,3790,3790,3640,3640,12554400
2020-01-07,3690,3700,3490,3530,17326000
2020-01-08,3500,3580,3490,3560,13627700
2020-01-09,3580,3630,3570,3600,11330200
2020-01-10,3620,3650,3600,3610,7654800
2020-01-13,3620,3620,3570,3600,13598600
2020-01-14,3600,3620,3520,3540,9316500
2020-01-15,3540,3620,3450,3500,16968900
2020-01-16,3500,3520,3450,3470,18129000
2020-01-17,3490,3520,3430,3430,13033700
2020-01-20,3430,3460,3370,3400,14499600
2020-01-21,3420,3420,3360,3370,6713700
2020-01-22,3370,3440,3360,3390,15113500
2020-01-23,3400,3410,3370,3380,9104500
2020-01-24,3390,3540,3390,3490,17967600
2020-01-27,3490,3500,3410,3420,8637400
2020-01-28,3400,3500,3250,3460,13782300
2020-01-29,3480,3480,3360,3400,7961500
2020-01-30,3400,3430,3320,3340,12981300
2020-01-31,3340,3380,3310,3310,16638500
2020-02-03,3290,3290,3150,3160,12260900
2020-02-04,3220,3250,3150,3200,16155000
2020-02-05,3230,3250,3170,3230,15749800
2020-02-06,3210,3310,3210,3310,13999200
2020-02-07,3310,3430,3280,3400,14479900
2020-02-10,3350,3360,3220,3290,14475300
2020-02-11,3320,3320,3220,3250,11223300
2020-02-12,3250,3250,3080,3120,12619400
2020-02-13,3120,3120,3020,3050,2385500
2020-02-14,3030,3050,2940,3040,4716400
2020-02-17,3040,3070,3000,3070,2205600
2020-02-18,3060,3130,3040,3100,11141500
2020-02-19,3100,3110,3000,3040,9008300
2020-02-20,3060,3110,3040,3060,10880900
2020-02-21,3080,3080,2970,3050,5227800
2020-02-24,2920,3010,2920,2990,5936800
2020-02-25,2940,2990,2920,2970,2812200
2020-02-26,2920,2960,2850,2890,5193400
2020-02-27,2840,2860,2680,2750,6914300
2020-02-28,2670,2670,2390,2650,5628100
2020-03-02,2620,2680,2510,2550,4207300
2020-03-03,2630,2640,2530,2550,7506900
2020-03-04,2530,2620,2460,2540,11182500
2020-03-05,2570,2650,2530,2540,10267400
2020-03-06,2530,2530,2420,2430,5043200
2020-03-09,2210,2380,2120,2270,8659800
2020-03-10,2220,2300,2150,2170,8165100
2020-03-11,2170,2200,1970,2000,6534400
2020-03-12,1890,1930,1805,1850,6145300
2020-03-16,1790,1925,1680,1680,16162700
2020-03-17,1600,1705,1565,1700,29696000
2020-03-18,1600,1705,1585,1595,16035700
2020-03-19,1560,1700,1485,1700,17406800
2020-03-20,1605,1650,1585,1600,16498900
2020-03-23,1515,1590,1490,1495,8650900
2020-03-24,1460,1725,1405,1725,9873500
2020-03-26,1660,1900,1660,1900,21395600
2020-03-27,1900,2100,1900,2060,8830400
2020-03-30,2060,2060,1920,1920,3097700
2020-03-31,1870,1985,1860,1975,9839600
2020-04-01,1925,1975,1895,1930,17696800
2020-04-02,1880,1920,1850,1920,18298200
2020-04-03,1950,1985,1910,1965,22102400
2020-04-06,1965,2150,1960,2150,32776700
2020-04-07,2230,2320,2070,2150,33630500
2020-04-08,2150,2150,2000,2000,12553900
2020-04-09,2050,2050,1890,1970,18382400
2020-04-13,1970,2050,1920,2020,25378300
2020-04-14,2070,2090,2000,2060,24529400
